,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
818,12000000,"Sector 13 Rohini, New Delhi - Rohini, Delhi NCR",900,28.71674547,77.13219339,2,2,,Ready to Move,Resale,,,,,Flat,"
",13333.33333
844,11000000,"B-111, 3rd Floor, Sector 8, Dwarka, New Delhi, Sector 8 Dwarka, New Delhi - Dwarka, Delhi NCR",1100,28.5712738,77.07314301,3,3,1,Ready to Move,Resale,,Unfurnished,,,Individual House,"
",10000
848,7400000,"Dharamshila Rd, B1, Paryatan Vihar, Vasundhara Enclave, New Delhi, Vasundhara Enclave, New Delhi - East, Delhi NCR",1070,28.60052361,77.31160783,2,2,2,Ready to Move,Resale,2,,0,near by dharamsheela hospital,Flat,"


                                Its a 2 bedroom Flat with an adjoining hall. This Unfurnished flat has a covered area of 1000 Sqft & has 2 bathrooms. The flat has, Power Backup, 24hr. security, Intercom, Nearby good schools, nearby Market. It overlooks GardenPark  and faces East direction. The maintenance charges of Rs 1500 are paid Monthly. The flat is approved by Development Authority. Good society flat available sale in the premium locality of vasundhara enclave east delhi
                            
more

",6915.88785
849,14000000,"Kadambari appartment sector-9, Sector 9 Rohini, New Delhi - Rohini, Delhi NCR",1100,28.71483231,77.12369537,2,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,"
",12727.27273
851,4200000,"Flate No3 3rd floor 341 Mehrauli New Delhi, Mehrauli, New Delhi - South, Delhi NCR",810,28.51879501,77.30749512,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Near Bus Stand,Individual House,"


                                It's a 3rd floor Builder Floor Apartment in a building of total 4 floors. This spacious Builder Floor Apartment was constructed approx. 5 to 10 years years back. Prime facilities are easily accessible from this place with Government Boys Senior Secondary School (0 km ). Other key neighbourhood are Main Bazaar Mehrauli (0 km ).
                            
more

",5185.185185
853,3500000,"Dwarka Mor, New Delhi - West, Delhi NCR",850,28.619316,77.033262,3,2,1,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",4117.647059
870,3000000,"Vipin Garden near by Metro station, Sainik Nagar-Nawada, New Delhi - West, Delhi NCR",600,28.621087,77.0252325,2,2,1,,Resale,,Semi-Furnished,,,Flat,"
",5000
876,8000000,"New Delhi, Indraprastha Extension, New Delhi - East, Delhi NCR",1150,28.62867165,77.30213165,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Near By St. Andrew school,Flat,"
                    
                    
                    
                       This is Commercial shop available for rent in indraprastha extension Patparganj Delhi. This is on ground floor. nice location
                    
                ",6956.521739
877,4800000,"New Delhi, Kiran Garden, New Delhi - West, Delhi NCR",900,28.61848831,77.04781342,3,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,"
                    
                    
                    
                       3 Bhk BUILDER FLOOR WITH LIFT COVERED CAR PARKING EAST FACING PROPERTY 3 BED ROOMS AND 2 BATHROOMS 1 SEMIFURNISHED MODULER KITCHEN 2 minutes WALKING FROM NAWADA METRO STATION JUST OPPOSITE METRO PILLER NO 722
                    
                ",5333.333333
881,4300000,"CBR Chwok, aya nagar, Aya Nagar, New Delhi - South, Delhi NCR",1120,28.4706925,77.127446,3,2,2,Ready to Move,Resale,1,Semi-Furnished,0,"Arjangarh Metro Station, New Delhi",Flat,"


                                The Value of this Apartment is approx 43 Lac. It lies on third floor out of 4 floors in its building and is also airy and spacious. It is a 3 bedroom flat, 2 bathroom and two balcony covered two bed room and one spacious drawing cum dining room along with one covered car parking located in Aya Nagar. It has an area of 1120 Sq-ft. Modular Kitchen. 2 full size Wooden Almirah in two bed room
                            
more

",3839.285714
884,3800000,"D-38A, Top Floor, Shyam Nagar, Vishnu garden, New Delhi-110018, Shyam Nagar, New Delhi - West, Delhi NCR",675,28.6475563,77.10384369,2,2,2,Ready to Move,Resale,,Semi-Furnished,,sheetla mata mandir and indian banks,Flat,"
                    
                    
                    
                       nearest metro is just 500 metres away, neatest market is only 100 metres away, Tilak nagar main market is 500 m away, good and friendly neighbours, security guards in nights,very close to pacific mall subhash nagar,
                    
                ",5629.62963
890,5500000,"Shahdara, New Delhi - East, Delhi NCR",900,28.68249512,77.26712799,3,2,2,Ready to Move,Resale,,Unfurnished,,Rashan Office,Individual House,"
                    
                    
                    
                       Near By Metro Stations and walking distance to the market Near by Schools and temples
                    
                ",6111.111111
894,22500000,"chander nagar, Janakpuri, New Delhi - West, Delhi NCR",2000,28.6210537,77.0905304,3,3,1,Ready to Move,Resale,,Semi-Furnished,,,Individual House,"
                    
                    
                    
                       Builder floor apartment is available for sale. It covered area of 2000 sq-ft, it is a good location property. Please contact for moredetails.
                    
                ",11250
899,5500000,"Dwarka Mor, New Delhi - West, Delhi NCR",1200,28.619316,77.033262,3,2,2,Ready to Move,Resale,1,Furnished,,,Flat,"
",4583.333333
903,5500000,"C 253 facing West side, pandav nagar, Pandav Nagar, New Delhi - East, Delhi NCR",900,28.610933,77.2739145,3,2,,Ready to Move,Resale,1,Unfurnished,,behind Radha Krishna Mandir,Flat,"
                    
                    
                    
                       100 mtrs from NH 24 Bus Stand, 400 mtrs from Akshardham Metro Station
                    
                ",6111.111111
906,12000000,"Dwarka, New Delhi, Sector 6 Pocket 1 Dwarka, New Delhi - Dwarka, Delhi NCR",1300,28.59045062,77.06124353,2,2,1,Ready to Move,Resale,,,0,Adjacent super speciality hospital Manipal Hospital.,Individual House,"
                    
                    
                    
                       The property is a duplex type construction. 20 minutes to Delhi Airport T1 and T2 and T3 are 40 minutes.
                    
                ",9230.769231
912,10500000,"Gh 12., Paschim Vihar, New Delhi - West, Delhi NCR",1400,28.6677244,77.0979515,2,2,2,Ready to Move,Resale,3,,0,"Near By temple , School , Hospital - Metro station",Flat,"
                    
                    
                    
                       Extendable to 03 Bed Room , Covered Bike Parking . Open Car Parking . 24X7 Security & Water . 02 Park in society . Flat Balcony is open on Main Road  of Society . Complete wood work in Kitchen and Bed room
                    
                ",7500
915,3300000,"Mehrauli, New Delhi - South, Delhi NCR",750,28.5201861,77.179158,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Individual House,"
",4400
921,3600000,"Om Sai Apartments, Palam Colony, New Delhi - Dwarka, Delhi NCR",639,28.5922719,77.0836826,2,2,,,Resale,,Semi-Furnished,,,Flat,"
",5633.802817
924,4800000,"Kiran Garden, New Delhi - West, Delhi NCR",900,28.61848831,77.04781342,3,2,1,Ready to Move,Resale,,Semi-Furnished,,,Individual House,"
                    
                    
                    
                       Builder floor apartment is available for sale. It has a covered area of 1850 sq-ft, it is a good location property. Please contact for more details.
                    
                ",5333.333333
928,6000000,"F-276, Laxmi Nagar, street no.21, Adjoining  AVB public school, Delhi -110092, Laxmi Nagar, New Delhi - East, Delhi NCR",900,28.63596725,77.26956177,3,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,"
                    
                    
                    
                       Front open and greenery overview
                    
                ",6666.666667
932,8300000,"Subhash Nagar, New Delhi - West, Delhi NCR",1000,28.63835144,77.11314392,2,2,2,Ready to Move,Resale,,Unfurnished,,,Flat,"
                    
                    
                    
                       Builder floor apartment is available for sale. It has covered area 1000 sq-ft, it is 2 BHK apartment. Please contact for more details.
                    
                ",8300
934,2500000,"Mayur Vihar 3, New Delhi - East, Delhi NCR",800,28.61469078,77.3330307,2,2,,Ready to Move,Resale,,Furnished,,,Flat,"
                    
                    
                    
                       A residential house is available for sale. It is a good location property. Please contact for more details.a
                    
                ",3125
936,11500000,"Nightingale Rd, Phase 1, Vikaspuri, Delhi, Vikaspuri Block D, New Delhi - West, Delhi NCR",1200,28.640016,77.064811,3,2,2,Ready to Move,Resale,2,,,The Property Has good connectivity and Schools Close,Flat,"


                                Excellent Place To Live With all Major Amenities within 50 mtrs of the Gate, Secure with CC TV Camera. All Major School Buses and Metro Bus comes till Gate, Peaceful locatilty. The flat is a cosy one with Tiles and ceiling work done. New Wiring and plumbing done some 2 years ago
                            
more

",9583.333333
941,5500000,"Chhattarpur, New Delhi - South, Delhi NCR",1100,28.4958944,77.1859976,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,I P S R College,Flat,"


                                Freehold Builder Floor Apartment is located at the advantageous 1st floor in a tower of total 5 floors. It is a relatively new property with construction age less than 5 yrs. Flooring of type Marble covers maximum part of the house. The location has easy access to, Oxford Angel Public School (0 km ), Abdul Gaffar Khan Market (0 km ), Apex Hospital (1 km ) and Chattarpur Metro Station (3 km ).
                            
more

",5000
950,19000000,"Vikaspuri Block C, New Delhi - West, Delhi NCR",1800,28.6350975,77.0711441,3,2,2,Ready to Move,Resale,2,Furnished,0,,Individual House,"
                    
                    
                    
                       Builder floor apartment is available for sale. It has covered area 1800 sq-ft, it is 3 BHK apartment. Please contact for more details.
                    
                ",10555.55556
952,8920000,"Dwarka, New Delhi - Dwarka, Delhi NCR",900,28.57331085,77.04484558,3,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale. It is a good location property. Please contact for more details.
                    
                ",9911.111111
962,4500000,"Shakarpur, New Delhi - East, Delhi NCR",950,28.6287985,77.2800824,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                        Expected price for this Unit is around 45 Lac. It has 950 Sq-ft of covered area. It is on 2nd level out of 4 floors in its building and is also spacious enough for a family. This one is a 2 bed room apartment in Shakarpur. 
                    
                ",4736.842105
966,11000000,"106., Jwalapuri, New Delhi - West, Delhi NCR",1500,28.677789,77.0802034,3,2,1,Ready to Move,Resale,2,Unfurnished,2,Property is close to metro station and great schools.,Flat,"
                    
                    
                    
                       on ground floor in a great location in a desirable community. remodel to your needs. close to metro
                    
                ",7333.333333
973,4500000,"HNo- 119, Street 14, Near Satyam Public School, Bhagwati Garden Extension, Dwarka Mor, New Delhi - West, Delhi NCR",1100,28.619316,77.033262,3,2,1,Ready to Move,Resale,1,Furnished,1,,Flat,"
                    
                    
                    
                       The property is very close to Dwarka Mor metro station and has all shops nearby
                    
                ",4090.909091
984,13000000,"Bh-404, Abhimanyu apartment, Vasundhara enclave, new Delhi -110096, Vasundhara Enclave, New Delhi - East, Delhi NCR",1500,28.60135623,77.31935835,3,3,1,Ready to Move,Resale,,,,Dharamshala cancer hospital,Flat,"
                    
                    
                    
                       it is a house in a really posh area of Delhi with all the possible facilities available for living peacefully with an availability of all the services and proximity with markets , hospitals , and schools.
                    
                ",8666.666667
988,17000000,"karkardooma metro station near Arjuna apartment, Karkardooma, New Delhi - East, Delhi NCR",1700,28.65128899,77.28226471,3,3,1,Ready to Move,Resale,,Semi-Furnished,,near metro karkardooma,Flat,"
                    
                    
                    
                       This is a 3 bedroom flat located in Karkardooma. It is built up in an area of 170 Sq-yrd. The Value of this Apartment is 1. 70 Cr. It is located on third level from 3 floors in the tower and is well ventilated.
                    
                ",10000
991,9500000,"35\25-26, Ground Floor, Front Side West Patel Nagar., Patel Nagar West, New Delhi - West, Delhi NCR",1114,28.65242958,77.1643219,3,2,,Ready to Move,Resale,1,Semi-Furnished,1,Near Ramjus Sports Complex.,Individual House,"
                    
                    
                    
                       Builder floor apartment is available for sale. Corner flat with two side entry in flat available. Please contact for more details.
                    
                ",8527.827648
1003,7000000,"Vasant Kunj Enclave, New Delhi - South, Delhi NCR",1200,28.5247097,77.13414764,3,3,2,Ready to Move,New Property,,Semi-Furnished,,vasant health centre,Flat,"
",5833.333333
1020,4960000,"Padam Nagar, New Delhi - Central, Delhi NCR",1000,28.66634941,77.18881989,3,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale. It has covered area 1000 sq-ft, it is 3 BHK apartment. Please contact for more details.
                    
                ",4960
1027,4990000,"Uttam Nagar, New Delhi - West, Delhi NCR",910,28.6212874,77.0530735,3,2,,Ready to Move,Resale,8,,1,Nawada metro station,Individual House,"


                                Property is strategically located, around 400 meters from Dwarka sector 3Stones throw away from Nawada metro station and DPS Dwarka 4 mins walking from Nawada metro stationConvenient traveling using Dwarka Palam road, avoid Uttam Nagar trafficVery broad 18 ft road in front Car parking and lift availableClean, green, and safe locality with RWATwo green parks in proximity of 1km
                            
more

",5483.516484
1031,5000000,"12B jain road bhagwati garden extension, Bhagwati Garden Extension, New Delhi - West, Delhi NCR",1000,28.62267113,77.03329468,3,2,2,Ready to Move,New Property,,Semi-Furnished,,,Flat,"


                                 The Home features 2 furnished bathroom and also has 2 open balconies. It is situated on fourth floor from 4 floors in all and is well ventilated. Expected price for the Home is kept at 50 Lac. It offers 1000 Sq-ft area for use. This one is a 3 bed room flat present in Bhagwati Garden Extension. 
                            
more

",5000
1042,14000000,"Rani Bagh, New Delhi - West, Delhi NCR",1440,28.6171627,77.07132721,4,3,1,Ready to Move,Resale,,Unfurnished,,,Flat,"
                    
                    
                    
                       Builder floor apartment is available for sale. It covered area of 1440 sq-ft, it is a good location property. Please contact for moredetails.
                    
                ",9722.222222
1046,13000000,"Sector 5 Rohini, New Delhi - Rohini, Delhi NCR",1260,28.71613693,77.10414886,4,2,,Ready to Move,Resale,,Furnished,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale. It covered area of 1260 sq-ft, it is a good location property. Please contact for moreDetails
                    
                ",10317.46032
1094,14000000,"Bhola Nath Nagar, New Delhi - East, Delhi NCR",720,28.6685046,77.287636,8,4,4,Ready to Move,Resale,2,Semi-Furnished,,Near Ram lila ground and Lucky mart,Flat,"


                                720 Sq feet house with 4 floors and parking is for sale at prime location. Each floor has 2 big rooms, 1 kitchen, 1 balcony, 1 toilet and 1 common bathroom & toilet. Azad nagar metro station is at walking distance. Park, schools, markets are also near by.
                            
more

",19444.44444
1095,5100000,"Nawada, New Delhi - West, Delhi NCR",900,28.6271769,77.0396183,3,2,1,Ready to Move,Resale,1,Furnished,1,,Flat,"
                    
                    
                    
                       Located near to Nawada Metro Station. Ease of access to market place
                    
                ",5666.666667
1097,4500000,"Pipal Road, Mohan Garden, New Delhi - West, Delhi NCR",900,28.63306427,77.03317261,3,2,1,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                       Builder floor apartment is available for sale. It covered area of 900 sq-ft at main road in Pipal Road. Please contact for moredetails.
                    
                ",5000
1106,3700000,"Sainik Nagar, New Delhi - West, Delhi NCR",850,28.6176548,77.04246521,2,2,1,Ready to Move,Resale,,Unfurnished,,"piller no 742 , mother dairy",Flat,"
                    
                    
                    
                       delhi jal board and igl gas pipe line connection and 500 mitter from nawada metro
                    
                ",4352.941176
1114,5000000,"B 487, 3rd Floor, Sudershan Park, Motinagar, New Delhi, Sudarshan Park, New Delhi - West, Delhi NCR",900,28.66199112,77.13422394,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,,Flat,"
",5555.555556
1119,12000000,"74., Sector 13 Rohini, New Delhi - Rohini, Delhi NCR",900,28.7185467,77.1280819,2,2,1,Ready to Move,Resale,1,,,,Flat,"


                                Prime location corner flat with   Three sides openNatural air ventilation Direct sunlight Continuous power plus generator backup Individual water tankIn front of  Sector9 marketPetrol pumpBharat apartment front gatePolice stationDC Chowk
                            
more

",13333.33333
1123,7500000,"Sultanpur, New Delhi - South, Delhi NCR",1150,28.4969141,77.1652546,3,3,,,Resale,,Semi-Furnished,,,Flat,"
",6521.73913
1126,4000000,"Raj Nagar 2, New Delhi - South, Delhi NCR",700,28.5771809,77.0776363,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",5714.285714
1129,5000000,"near dwarka mor metro station, Sewak Park, New Delhi - Dwarka, Delhi NCR",1000,28.61631584,77.03421021,3,2,2,Ready to Move,Resale,,Furnished,,walking distance from dwarka mor metro station near b1 block church sewak park,Individual House,"
                    
                    
                    
                       100gaj.second floor.walking distance from metro station.all amenities nearby.no brokerage.direct deal.
                    
                ",5000
1130,4450000,"New Krishna Park, New Delhi - West, Delhi NCR",900,28.6308651,77.07584381,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Aggarwal sweet corner,Flat,"
                    
                    
                    
                       Modular kitchen and cupboards
                    
                ",4944.444444
1132,17500000,"Chetan sakhuja D block Moti nagar new delhi 110015, Moti Nagar, New Delhi - West, Delhi NCR",2500,28.65513229,77.14551544,4,3,,Ready to Move,Resale,2,Furnished,,,Flat,"


                                Situated in Central Delhi, Moti Nagar is a residential locality surrounded by Kirti Nagar, Rajouri Garden, and Punjabi Bagh. Metro connectivity and access to well-developed social infrastructure such as multi-specialty hospitals, schools and colleges, are some of the plus points of this locality.Developers such as DLF, and GIC Housing Finance Ltd haveinvested in construction of high storeyed residential and commercial towers, making Moti Nagar a centre of attraction in Delhi. DLF Capital Greens is a prominent project in Moti Nagar.Moti Nagar has well developed local market with several food joints, retail stores, and malls such as CTC Mall and TDI Mall. The schools, colleges and hospitals in the nearby locality are S.B. Mills Senior Secondary School, Guru Nanak Public School, S.D. Public School, Life Care Institute of Allied Health Science and Technology, Acharya Shree Bhikshu Hospital, and Apollo Cradle among others.Moti Nagar is centrally located and well connected with employment hubs such as Bhikaji Kama Place, Connaught Place in Delhi and NOIDA and Gurgaon via Metro. It also hubs a few start-ups such as UNI IT Solutions, RightQuery Technologies, SMJ Softech, and Sunovatech among others.Source   Magicbricks Research
                            
more

",7000
1151,5000000,"near dwarka mor metro station, Sewak Park, New Delhi - Dwarka, Delhi NCR",1000,28.61631584,77.03421021,3,2,2,Ready to Move,Resale,,Furnished,,walking distance from dwarka mor metro station near b1 block church sewak park.,Flat,"
                    
                    
                    
                       100gaj.second floor.all amenities nearby.direct deal.no brokerage.
                    
                ",5000
1163,5500000,"Freedom Fighters Enclave, New Delhi - South, Delhi NCR",950,28.51025009,77.1989975,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                       Builder floor apartment is available for sale. It covered area of 950 sq-ft, it is a good location property. Please contact for more details.
                    
                ",5789.473684
1184,18500000,"Outram Lines, New Delhi - North, Delhi NCR",1600,28.70140076,77.20785522,3,3,1,Ready to Move,Resale,,Semi-Furnished,,near nulife hospital.,Flat,"
                    
                    
                    
                       Builder floor apartment is available for sale. It has a covered area of 1600 sq-ft, it is a good location property. Please contact for more details.
                    
                ",11562.5
1186,7000000,"Krishna Kunj Apartments, Sector 7 Dwarka, New Delhi - Dwarka, Delhi NCR",1000,28.5876818,77.0728034,3,3,2,Ready to Move,Resale,,Unfurnished,,,Flat,"
",7000
1194,15000000,"Sukhdev Vihar, New Delhi - South, Delhi NCR",1100,28.55383873,77.27410126,3,2,,Ready to Move,Resale,,Furnished,,,Flat,"
                    
                    
                    
                       Multistorey apartment is available for sale. It is a good location property. Please contact for more details.
                    
                ",13636.36364
1197,6800000,"D140., Fateh Nagar, New Delhi - West, Delhi NCR",900,28.63476944,77.04912567,2,2,,Ready to Move,Resale,,Semi-Furnished,0,Adjacent to Gurudwara on Jail road,Flat,"
                    
                    
                    
                       semi furnished, 2 balconies in front and back, wooden work in each bedroom and kitchen.
                    
                ",7555.555556
1202,3000000,"street no 31/1 L 1st, Sangam Vihar, New Delhi - South, Delhi NCR",780,28.49855614,77.24030304,2,2,1,Ready to Move,Resale,,Furnished,,,Flat,"
",3846.153846
1205,4000000,"Raj Nagar, New Delhi - South, Delhi NCR",725,28.63361359,77.09880066,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Near SBI Bank,Individual House,"
                    
                    
                    
                       Builder Floor Apartment is located at the advantageous 2nd floor in a tower of total 4 floors. The Builder Floor Apartment is newly constructed.
                    
                ",5517.241379
1207,4000000,"Inderpuri, New Delhi - West, Delhi NCR",765,28.631237,77.1473146,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",5228.75817
1210,30000000,"Sector b pocket 8&9 vasant kunj., Sector B Vasant Kunj, New Delhi - South, Delhi NCR",2000,28.5264864,77.158826,3,2,3,Ready to Move,Resale,5,Semi-Furnished,0,near mbience mall,Flat,"


                                Beautifuly located apartment on to First floor away from main road. There is virtually no traffic or dust pollution. Situated in green lush surroundings. Close to markets banks heritage school hospital and mg road. Flat has been renovated into 3 bedrooms, and 2 bathroom. Master bedroom has attached bathroom. The new buyer has unlimited options to modify as per needs and flat can be converted into 4 bedrooms. The flat is 3 side open and has great ventilation and breeze. Its a sunny flat and you get sun all day long. Its a great apartment for a family .
                            
more

",15000
1215,3500000,"Devli, New Delhi - South, Delhi NCR",579,28.4957949,77.2367195,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",6044.905009
1223,17500000,"C 06., Sector 9 Dwarka, New Delhi - Dwarka, Delhi NCR",1800,28.5796887,77.0708801,4,3,,Ready to Move,Resale,1,,2,Near Dwarka sector 9 metro station,Flat,"


                                Are you hunting for a luxuriously designed spacious accommodation in one of the premium society??? Then here is a great deal for you. Buy this most astonishing 4 BHK flat that is available for sale and is located in one of the high-end societies named as Bhrigu Apartments in Sector 9 Dwarka, New Delhi. Property Specifications Sited in one of the friendly neighbourhood and close to all the civic amenities, make this residential flat an ideal choice for comfortable living. Further, the interiors of this flat are aptly maintained in pristine condition, which makes it another benefit of choosing this property.Approved by the Delhi Development Authority, this enchanting flat is sprawled across 1800sqft of a super area & 1400sqft of a carpet area and is benefited with freehold ownership rights thus is a safe & lucrative investment deal to go with.Ageing between 5 to 10 years, this north-east facing flat is well-positioned on the most advantageous ground floor of the 6-storeyed building and is blessed with an abundant amount of natural light & cross ventilation throughout the day. Meticulously designed and excellently planned, this semi-furnished flat configures 4 bedrooms, 3 bathrooms, 2 balconies, L-shaped living cum dining room and a smart kitchen. All the bedrooms are well crafted with stylish wardrobes to keep your apparels & valuables safely. Fashioned in western manner & outfitted with branded geysers, 2 bathrooms are attached to two of the bedrooms while the 3rd bathroom is for common usage. Coming to the balconies, 1 veranda is at the front side and the other is beside this flat where you can spend some quality in the evening. Furthermore, the living cum dining room is furnished with a TV unit to keep the TV or music system for your entertainment. Besides, the modular kitchen is adorned with the shiny platform, sink unit and chimney that drives the heat keeping the kitchen always fresh & hygiene. Moreover, this entire flat is decked with the most attractive & top-quality tiles flooring to enhance the beauty in overall appearance.Facilities Some of the prime amenities & facilities like visitor & reserved parking, kids play area, park, laundry service, waste disposal, rainwater harvesting, water storage & supply for 24hours, power backup device, DTH television facility, fire fighting equipment, lift, maintenance staff and a security guard are available in this imperial society to lead a lavish lifestyle. Locality Within a periphery of 1km, you can avail all the necessary civic amenities like famous shopping malls, grocery stores, supermarkets, local market, prominent schools, reputed hospitals and national banks & ATM centers from this society. To commute to other parts of the city, you can access the Dwarka Sector 9 Metro Station at a distance of 1km and several public transportation like autos & taxis within close proximity.
                            
more

",9722.222222
1231,16500000,"flat no. C 603 sixth floor plot no.10 sec 5 dwarka New Delhi 110075, Sector 5 Dwarka, New Delhi - Dwarka, Delhi NCR",1725,28.60231547,77.0566328,4,2,2,Ready to Move,Resale,2,,2,opposite of raja puri red light,Flat,"
                    
                    
                    
                       This is a 4 bed room flat located in Shree Krishna Apartment, Sector 5 Dwarka. Expected price for this Flat is 1. 70 Cr. It is situated on 6th floor from 10 floors in all and is well ventilated. It offers 1725 Sq-ft of covered area.
                    
                ",9565.217391
1240,6000000,"Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",900,28.5980365,77.0765245,3,2,,Ready to Move,Resale,,Furnished,,,Individual House,"
",6666.666667
1252,15500000,"New Delhi, Chittaranjan Park, New Delhi - South, Delhi NCR",1380,28.53787231,77.24923706,3,3,1,Ready to Move,Resale,,Semi-Furnished,,Market no 2 c r park,Flat,"
                    
                    
                    
                       THREE bedroom attached bathroom drawing dining with moduler kitchen reserved car parking
                    
                ",11231.88406
1256,4370000,"Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",720,28.5980365,77.0765245,2,2,2,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                       corner plot with connectivity to metro, bus stop
                    
                ",6069.444444
1260,8200000,"E 7, Galaxy Apartments, F Block, Vikaspuri, Vikaspuri, New Delhi - West, Delhi NCR",1050,28.64422782,77.07031494,2,2,3,Ready to Move,Resale,,,,Near Kumar Mangalam International school,Individual House,"
                    
                    
                    
                       Located in a beautiful residential Society surrounded by large parks,market,banks,International schools, shopping complex etc.Very well connected to main bus stops and metros.Nearby metro stations are only 5 minutes  drive from the society.
                    
                ",7809.52381
1265,4000000,"Sector 25 Rohini, New Delhi - Rohini, Delhi NCR",650,28.7344974,77.094249,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",6153.846154
1278,8000000,"Sector 6 Rohini, New Delhi - Rohini, Delhi NCR",700,28.71431541,77.11326599,3,2,2,Ready to Move,New Property,,Semi-Furnished,,Near ambedkar hospital and mount abu school. Great locality and security. Grocery store right downstairs. Walking distance to metro station and 150m to petrol and cng pump. 50 m to chottu ram park bus stop. No brokerage,Flat,"
",11428.57143
1282,4300000,"With Roof Right, Vipin Garden, New Delhi - West, Delhi NCR",891,28.62475777,77.0268631,3,2,2,Ready to Move,Resale,5,Semi-Furnished,1,,Flat,"
                    
                    
                    
                       Property is located at Vipin Garden Monday Market Road, Near Metro Pillar No.798. Hardly 10 minutes walking from Dwarka Mod Metro Station. Front Road 50 feet and back side 20 feet. Entry from both side.
                    
                ",4826.038159
1285,16000000,"Dwarka Sector 6, New Delhi, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1850,28.593846,77.065492,3,2,4,Ready to Move,New Property,2,,2,near Indian oil petrol pump,Individual House,"


                                Corner society flat, sun light from morning to afternoon. The flat is well ventilated and sunlit. The kitchen is modular and rooms have nicely wood work done wordrobes. The society is well maintained, with RO plant for water purification. The society has two power gensets for regular power supply. There is a well maintained park for children. Every flat has one reserved car parking.
                            
more

",8648.648649
1290,5400000,"Virender Nagar, New Delhi - West, Delhi NCR",900,28.623481,77.096966,2,2,1,Ready to Move,Resale,,Furnished,,,Flat,"


                                 The Apartment consists of 2 washroom and 1 open balcony. The Price for this Apartment is around 54 Lac. It lies on third floor from 3 floors in all and is well ventilated. It has 900. 0 Sq-ft of covered area. It is a 2 bedroom flat located in Virender Nagar. 
                            
more

",6000
1301,2600000,"k 27 mohan gdn ext uttam nagar, Mohan Garden, New Delhi - West, Delhi NCR",600,28.63306427,77.03317261,2,2,1,Ready to Move,New Property,,Semi-Furnished,,near sanjeevani school,Individual House,"
                    
                    
                    
                       registry property.with car parking
                    
                ",4333.333333
1302,6500000,"Yamuna Vihar, New Delhi - East, Delhi NCR",900,28.69979286,77.2743454,3,2,2,Ready to Move,Resale,,Furnished,,,Flat,"
",7222.222222
1319,20000000,"1st Floor Shivaji park, Shivaji Park, New Delhi - West, Delhi NCR",2379,28.6727429,77.1320265,4,3,2,Ready to Move,Resale,,,1,"Close to metro station, hospitals, market and school all nearby",Flat,"
                    
                    
                    
                       Semi furnished property, South facing, Ample sun light all day, modular kitchen, Lift
                    
                ",8406.893653
1320,7500000,"RZ 76 upper ground floor, Vaishali Colony, New Delhi - West, Delhi NCR",1100,28.60667229,77.08246613,3,3,2,Ready to Move,Resale,,Furnished,,Dada Dev Hospital,Individual House,"
                    
                    
                    
                       Multistorey apartment is available for sale. It covered area of 1100 sq-ft, it is a good location property. Please contact for moredetails.
                    
                ",6818.181818
1322,4000000,"Sangam Vihar, New Delhi - South, Delhi NCR",910,28.50482981,77.23414166,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,Dr Sundarlal memorial hospital,Flat,"


                                The property is located equi-distance from both the IT junctions such ad Gurugram and Noida,There is a proposed metro statio coming within 2km from the property, This property  the most affordable and well connected , currently the nearest metro station is Saket which is 3km from the property.
                            
more

",4395.604396
1324,5500000,"Sector 25 Rohini, New Delhi - Rohini, Delhi NCR",650,28.73449707,77.09424591,3,2,1,Ready to Move,Resale,,Unfurnished,,,Individual House,"
",8461.538462
